p cnf 100 130
-38 40 -91 0
31 -40 -91 0
30 -31 39 0
-30 39 88 0
-39 69 82 0
-39 69 -82 0
10 60 94 0
-10 24 74 0
-10 60 -74 0
-20 52 87 0
52 -60 -87 0
26 -52 94 0
-26 45 57 0
-26 -45 57 0
-26 -57 100 0
11 -24 38 0
5 11 -38 0
5 -11 -24 0
4 42 -69 0
-42 -69 -100 0
71 83 -94 0
-4 -71 83 0
-4 -83 -94 0
-5 59 -73 0
13 -59 78 0
15 77 92 0
28 -53 98 0
-28 -53 98 0
22 89 -98 0
22 -53 -89 0
12 -58 -98 0
-12 -22 -53 0
21 -36 -92 0
18 -21 -36 0
-18 -92 96 0
-18 -78 -96 0
1 8 42 0
56 61 91 0
2 -56 61 0
-2 -42 61 0
1 -42 -61 0
-8 -13 64 0
32 -64 88 0
-8 28 -88 0
-28 -64 -88 0
-1 -13 -59 
-35 -77 -83 0
33 62 78 0
47 53 -65 0
30 37 58 0
-37 58 71 0
-12 -37 71 0
20 30 51 0
20 -51 -71 0
-32 -61 89 0
27 -63 65 0
-22 -48 50 0
-89 -97 98 0
-16 -46 95 0
-16 -46 -95 0
51 -93 -99 0
27 76 79 0
-1 -25 68 0
34 -58 -75 0
-15 -20 -90 0
33 64 85 0
-11 64 -85 0
-18 -33 -48 0
54 -63 75 0
3 -49 -95 0
-3 74 -95 0
-33 44 -54 0
-44 -50 -54 0
-2 82 96 0
16 49 82 0
-19 -41 -44 0
46 -49 81 0
29 34 63 0
-25 -34 -75 0
-23 44 -70 0
-7 -49 -77 0
6 44 81 0
17 -19 -86 0
11 -52 -85 0
-44 46 64 0
-17 -34 95 0
17 47 -57 0
-81 -96 97 0
3 -34 99 0
43 -56 -76 0
-27 72 -79 0
-6 -27 70 0
55 67 73 0
16 -74 -84 0
-43 90 97 0
-47 -70 -90 0
14 16 -79 0
45 -66 80 0
10 -80 87 0
37 -45 72 0
19 68 -97 0
-9 -70 -93 0
7 35 54 0
-41 -55 0
14 -14 70 0
23 -23 -62 0
23 -67 -80 0
10 36 -51 0
21 -68 85 0
-6 43 -55 0
21 -41 99 0
14 81 97 0
-9 -43 -72 0
7 -9 -79 0
-41 84 -90 0
25 -72 86 0
6 -14 38 0
7 -21 35 0
9 -87 99 0
-3 75 -86 0
19 -62 84 0
-27 48 -68 0
-25 45 -84 0
-7 41 67 0
-30 -47 48 0
66 97 -99 0
9 41 55 0
50 62 -81 0
29 -86 90 0
-48 54 -55 0
